Ranna nimi;Kuupäev;Kellaaeg;Õhu temperatuur;Vee temperatuur;Rahvaarv rannas
Anne kanal;22.06.2021;11:00;28;30;1000
Haabneeme;21.06.2021;10:00;29;19;75
Harku;21.06.2021;10:30;31;25;52
Joaoru;21.06.2021;11:00;29;21;50
Kakumäe;21.06.2021;10:30;29;17;60
Kauksi;21.06.2021;10:00;27;25;320
Võru Kubija;21.06.2021;10:00;29;24;20
Kuressaare;20.06.2021;18:00;29;28;63
Emajõe linnaujula;20.06.2021;18:00;31;24;70
Mändjala;21.06.2021;11:44;23;28;100
Narva-Jõesuu;21.06.2021;10:00;31;23;170
Paala järv;20.06.2021;18:00;32;24;45
Paide tehisjärv;20.06.2021;15:00;31;25;80
Paralepa;21.06.2021;10:30;30;23;20
Pärnu;21.06.2021;10:30;26;23;100
Pedeli jõgi;21.06.2021;11:00;33;24;16
Pikakari;21.06.2021;10:30;28;17;30
Pirita;21.06.2021;10:30;30;17;200
Pühajärv;21.06.2021;10:00;30;26;40
Riiska järv;20.06.2021;18:00;33;25;52
Pelgurand / Stroomi;21.06.2021;10:30;29;29;150
Võru Tamula järv;21.06.2021;10:00;28;25;30
Türi;20.06.2021;15:00;31;23;100
Emajõe vabaujula;20.06.2021;18:00;31;24;100
Vanamõisa järv;20.06.2021;18:00;31;22;62
Verevi järv;20.06.2021;18:00;31;25;360
Viljandi järv;20.06.2021;18:00;30;26;100
Võsu;21.06.2021;11:44;31;18;50